,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,odds
26,Kevin Chappell,32366,72.328,-0.202,-0.235,0.112,-0.18,-0.057,-0.022,3.0,0.5,3.0,0.5,
27,Stewart Cink,20229,71.144,-0.234,0.01,-0.22,0.082,0.292,-0.316,3.0,0.33,3.0,0.33,135500.0
28,Tim Clark,23135,,,,,,,,,,,,
29,Wyndham Clark,51766,70.193,0.732,0.245,0.221,0.73,0.264,0.002,,,,,13250.0
30,Eric Cole,47591,70.15,0.635,-0.567,0.244,-0.04,0.283,0.675,,,,,30250.0
31,Chad Collins,25720,,,,,,,,,,,,
32,Trevor Cone,49453,71.657,-0.398,0.618,-0.132,-0.005,-0.491,-0.392,,,,,
33,Corey Conners,39997,70.707,0.319,0.441,-0.164,0.631,0.355,-0.312,-2.2,0.8,-2.2,0.8,9000.0
34,Austin Cook,46435,71.139,-0.019,-0.626,0.183,-0.028,0.415,0.008,10.0,0.0,10.0,0.0,
35,Vince Covello,32982,,,,,,,,,,,,
36,Ben Crane,23541,72.223,-0.838,-0.561,-0.364,-2.128,-1.203,1.29,13.0,0.0,13.0,0.0,
37,MJ Daffue,39067,71.553,-0.833,0.487,-0.205,0.154,-0.129,-0.987,,,,,
38,Joel Dahmen,34076,69.916,0.667,0.555,0.244,1.113,0.313,-0.446,,,,,20625.0
39,Brian Davis,21753,,,,,,,,,,,,
40,Cam Davis,45157,71.156,-0.111,0.565,-0.138,0.481,0.053,-0.592,,,,,39250.0
41,Jason Day,28089,69.31,1.957,0.497,0.133,1.307,0.677,0.65,0.29,0.71,0.29,0.71,4775.0
42,Thomas Detry,33653,70.36,0.614,0.212,0.188,0.433,0.033,0.181,,,,,10750.0
43,Luke Donald,23983,71.949,-0.131,-0.474,-0.206,0.016,0.695,-0.146,3.0,0.0,3.0,0.0,123000.0
44,Zecheng Dou,37338,71.878,-1.168,0.269,0.046,0.063,-0.251,-1.232,,,,,
45,Jason Dufner,25686,72.047,-1.184,-0.165,0.298,-0.184,-0.318,-0.999,6.0,0.5,6.0,0.5,
46,Tyler Duncan,45609,71.12,-0.398,0.327,-0.472,-0.5,-0.355,0.103,4.0,0.0,4.0,0.0,
47,Nico Echavarria,51349,71.753,-1.084,0.018,-0.398,-0.952,-0.572,-0.132,,,,,
